bus_number,stop_sequence,stop_name
139 - Geeta Nagar to Chhatrapati Shivaji Maharaj Terminus,11,Electric House Or Colaba Depot #2
139 - Geeta Nagar to Chhatrapati Shivaji Maharaj Terminus,12,Holi Name Vidyalaya
139 - Geeta Nagar to Chhatrapati Shivaji Maharaj Terminus,13,Dr Shyamaprasad Mukherji Chowk (Fort) #3
139 - Geeta Nagar to Chhatrapati Shivaji Maharaj Terminus,14,Hutatma Chowk Or Mumbai Vidhyapeth (Fort) #1
139 - Geeta Nagar to Chhatrapati Shivaji Maharaj Terminus,15,Hutatma Chowk (Fort) #4
139 - Geeta Nagar to Chhatrapati Shivaji Maharaj Terminus,16,Hutatma Chowk or Siddharth College
139 - Geeta Nagar to Chhatrapati Shivaji Maharaj Terminus,17,Khadi Bhandar (Fort) #1
139 - Chhatrapati Shivaji Maharaj Terminus to Geeta Nagar,1,Chhatrapati Shivaji Maharaj Terminus (Fort) #9
139 - Chhatrapati Shivaji Maharaj Terminus to Geeta Nagar,2,Khadi Bhandar (Fort) #2
139 - Chhatrapati Shivaji Maharaj Terminus to Geeta Nagar,3,Hutatma Chowk or Siddharth College (Fort)
139 - Chhatrapati Shivaji Maharaj Terminus to Geeta Nagar,4,Hutatma Chowk Or Mumbai Vidhyapeeth
139 - Chhatrapati Shivaji Maharaj Terminus to Geeta Nagar,5,Hutatma Chowk Or Mumbai Vidhyapeth (Fort) #2
139 - Chhatrapati Shivaji Maharaj Terminus to Geeta Nagar,6,Dr Shyamaprasad Mukherji Chowk (Fort) #4
139 - Chhatrapati Shivaji Maharaj Terminus to Geeta Nagar,7,Dr Shyamaprasad Mukherji Chowk Or Regal
139 - Chhatrapati Shivaji Maharaj Terminus to Geeta Nagar,8,Electric House Or Colaba Depot #1
139 - Chhatrapati Shivaji Maharaj Terminus to Geeta Nagar,9,Strand Cinema (Colaba) #6
139 - Chhatrapati Shivaji Maharaj Terminus to Geeta Nagar,10,Sasoon Dock Colaba Fire Station #2
139 - Chhatrapati Shivaji Maharaj Terminus to Geeta Nagar,11,Sasoon Dock
139 - Chhatrapati Shivaji Maharaj Terminus to Geeta Nagar,12,Colaba Bus Station (Cuffe Parade) #2
139 - Chhatrapati Shivaji Maharaj Terminus to Geeta Nagar,13,Colaba Bus Station Post Office #1
139 - Chhatrapati Shivaji Maharaj Terminus to Geeta Nagar,14,Afghan Church (Colaba) #2
139 - Chhatrapati Shivaji Maharaj Terminus to Geeta Nagar,15,Ganeshmurti Nagar Police Station (Colaba) #2
139 - Chhatrapati Shivaji Maharaj Terminus to Geeta Nagar,16,Dhobi Ghat Navy Nagar (Colaba) #2
139 - Chhatrapati Shivaji Maharaj Terminus to Geeta Nagar,17,M T Park (Colaba) #2
14 - Pratiksha Nagar Depot to Dr Shyamaprasad Mukherji Chowk,1,Pratiksha Nagar Depot (Sion) #1
14 - Pratiksha Nagar Depot to Dr Shyamaprasad Mukherji Chowk,2,BEST Receiving Centre Or Sunder Vihar (Sion) #1
